耐用年数,旧定額法,旧定率法,新定額法,250%償却率,250%改定償却率,250%保証率,200%償却率,200%改定償却率,200%保証率
67,0.015,0.034,0.015,0.037,0.038,0.00828,0.03,0.031,0.01097
68,0.015,0.033,0.015,0.037,0.038,0.0081,0.029,0.03,0.01097
69,0.015,0.033,0.015,0.036,0.038,0.008,0.029,0.03,0.01065
70,0.015,0.032,0.015,0.036,0.038,0.00771,0.029,0.03,0.01034
71,0.014,0.032,0.015,0.035,0.036,0.00771,0.028,0.029,0.01034
72,0.014,0.032,0.014,0.035,0.036,0.00751,0.028,0.029,0.01006
73,0.014,0.031,0.014,0.034,0.035,0.00751,0.027,0.027,0.01063
74,0.014,0.031,0.014,0.034,0.035,0.00738,0.027,0.027,0.01035
75,0.014,0.03,0.014,0.033,0.034,0.00738,0.027,0.027,0.01007
76,0.014,0.03,0.014,0.033,0.034,0.00726,0.026,0.027,0.0098
77,0.013,0.03,0.013,0.032,0.033,0.00726,0.026,0.027,0.00954
78,0.013,0.029,0.013,0.032,0.033,0.00716,0.026,0.027,0.00929
79,0.013,0.029,0.013,0.032,0.033,0.00693,0.025,0.026,0.00929
80,0.013,0.028,0.013,0.031,0.032,0.00693,0.025,0.026,0.00907
81,0.013,0.028,0.013,0.031,0.032,0.00683,0.025,0.026,0.00884
82,0.013,0.028,0.013,0.03,0.031,0.00683,0.024,0.024,0.00929
83,0.012,0.027,0.013,0.03,0.031,0.00673,0.024,0.024,0.00907
84,0.012,0.027,0.012,0.03,0.031,0.00653,0.024,0.024,0.00885
85,0.012,0.026,0.012,0.029,0.03,0.00653,0.024,0.024,0.00864
86,0.012,0.026,0.012,0.029,0.03,0.00645,0.023,0.023,0.00885
87,0.012,0.026,0.012,0.029,0.03,0.00627,0.023,0.023,0.00864
88,0.012,0.026,0.012,0.028,0.029,0.00627,0.023,0.023,0.00844
89,0.012,0.026,0.012,0.028,0.029,0.0062,0.022,0.022,0.00863
90,0.012,0.025,0.012,0.028,0.029,0.00603,0.022,0.022,0.00844
91,0.011,0.025,0.011,0.027,0.027,0.00649,0.022,0.022,0.00825
92,0.011,0.025,0.011,0.027,0.027,0.00632,0.022,0.022,0.00807
93,0.011,0.025,0.011,0.027,0.027,0.00615,0.022,0.022,0.0079
94,0.011,0.024,0.011,0.027,0.027,0.00598,0.021,0.021,0.00807
95,0.011,0.024,0.011,0.026,0.027,0.00594,0.021,0.021,0.0079
96,0.011,0.024,0.011,0.026,0.027,0.00578,0.021,0.021,0.00773
97,0.011,0.023,0.011,0.026,0.027,0.00563,0.021,0.021,0.00757
98,0.011,0.023,0.011,0.026,0.027,0.00549,0.02,0.02,0.00773
99,0.011,0.023,0.011,0.025,0.026,0.00549,0.02,0.02,0.00757
100,0.01,0.023,0.01,0.025,0.026,0.00546,0.02,0.02,0.00742
